x_dist,y_dist,xvel,yvel
174.3251443,542.6881118,2.617000816,0.03436786
174.2907765,540.071111,2.717000816,-0.00563214
174.2964086,537.3541102,2.817000816,0.03436786
174.2620408,534.5371094,2.958583154,0.18999738
174.0720434,531.5785262,3.106967533,0.344056525
173.7279869,528.4715587,3.262095004,0.496308864
173.231678,525.2094637,3.423898403,0.646520168
172.5851578,521.7855653,3.592302432,0.794458692
171.7906991,518.1932628,3.76722375,0.939895463
170.8508037,514.4260391,3.948571079,1.082604554
169.7681991,510.477468,4.136245308,1.222363363
168.5458357,506.3412227,4.330139621,1.358952882
167.1868829,502.0110831,4.530139621,1.492157963
165.6947249,497.4809435,4.736123474,1.621767582
164.0729573,492.74482,4.947962054,1.747575097
162.3253822,487.7968579,5.165519105,1.869378495
160.4560037,482.6313388,5.3886514,1.986980646
158.4690231,477.2426874,5.617208922,2.100189535
156.3688335,471.6254785,5.851035043,2.2088185
154.160015,465.7744435,6.089966717,2.31268646
151.8473286,459.6844767,6.333834677,2.411618134
149.4357105,453.3506421,6.582463642,2.505444255
146.9302662,446.7681784,6.835672531,2.594001777
144.3362644,439.9325059,7.093274682,2.677134072
141.6591304,432.8392312,7.355078081,2.754691123
138.9044392,425.4841531,7.355078081,2.754691123
136.1497481,418.1290751,7.355078081,2.754691123
133.395057,410.773997,7.355078081,2.754691123
130.6403659,403.4189189,7.355078081,2.754691123
127.8856747,396.0638408,7.355078081,2.754691123
125.1309836,388.7087627,7.355078081,2.754691123
122.3762925,381.3536847,7.455078081,2.714691123
119.6616014,373.8986066,7.455078081,2.714691123
116.9469102,366.4435285,7.455078081,2.714691123
114.2322191,358.9884504,7.455078081,2.714691123
111.517528,351.5333723,7.455078081,2.714691123
108.8028369,344.0782942,7.455078081,2.714691123
106.0881458,336.6232162,7.455078081,2.714691123
103.3734546,329.1681381,7.455078081,2.714691123
100.6587635,321.71306,7.455078081,2.714691123
97.94407239,314.2579819,7.455078081,2.714691123
95.22938126,306.8029038,7.455078081,2.714691123
92.51469014,299.3478258,7.455078081,2.714691123
89.79999902,291.8927477,7.455078081,2.714691123
87.0853079,284.4376696,7.455078081,2.714691123
84.37061677,276.9825915,7.455078081,2.714691123
81.65592565,269.5275134,7.455078081,2.714691123
78.94123453,262.0724354,7.455078081,2.714691123
76.22654341,254.6173573,7.455078081,2.714691123
73.51185228,247.1622792,7.455078081,2.714691123
70.79716116,239.7072011,7.455078081,2.714691123
68.08247004,232.252123,7.455078081,2.714691123
65.36777891,224.797045,7.455078081,2.714691123
62.65308779,217.3419669,7.455078081,2.714691123
59.93839667,209.8868888,7.455078081,2.714691123
57.22370555,202.4318107,7.455078081,2.714691123
54.50901442,194.9767326,7.455078081,2.714691123
51.7943233,187.5216546,7.455078081,2.714691123
